year,ahw_frequency_mean,ahw_frequency_sd,rhw_frequency_mean,rhw_frequency_sd,ahw_duration_mean,ahw_duration_sd,rhw_duration_mean,rhw_duration_sd,ahw_intensity_mean,ahw_intensity_sd,rhw_intensity_mean,rhw_intensity_sd
2008,3.440954774,1.457188417,1.248743719,1.104324951,13.63819095,5.986773423,8.032663317,7.29090012,27.11698693,11.54902776,3.770030402,3.522761823
2009,3.236180905,1.620998355,1.359296482,1.222301769,13.85929648,9.011734478,10.20603015,10.27023135,24.51531872,12.00041655,3.711605779,3.286865949
2010,4.798994975,2.370208522,2.541457286,1.67962663,21.8040201,12.11572274,21.87562814,16.28494261,33.3120559,17.1084977,8.314745603,6.768083576
2011,5.273869347,2.237836043,2.625628141,1.541077898,28.80025126,20.904582220000002,25.69849246,21.18367978,35.5473343,14.90047014,7.530081533,4.514146216
2012,6.9221105530000004,2.63556342,4.374371859,2.220404799,36.85050251,18.01099642,46.81407035,31.16648604,53.05415754,22.03021419,15.85362136,9.675487602
2013,3.756281407,1.673289494,1.899497487,1.214423266,16.52638191,7.971088302,15.41834171,11.31957504,27.59683731,13.26145055,5.877252387,3.71944397
2014,3.493718593,2.543829018,2.680904523,2.720421041,14.17964824,11.19097078,25.40577889,30.35538939,24.92907312,18.75038512,7.096973869,7.013294892
2015,6.281407035,1.88852819,4.432160804,1.769839687,35.26130653,15.89221105,40.64447236,21.43379387,48.85734146,13.67853531,15.59508317,6.135812225
2016,6.287688442,1.930032203,3.938442211,1.771488199,28.79145729,10.69996137,33.91457286,14.94269586,46.64230063,13.68016006,13.37840013,7.187714669
2017,5.806532663,1.677596252,4.247487437,1.363673069,26.79773869,9.422550995,36.15326633,14.38397094,45.2182245,11.80411696,15.46836859,7.157979034
2018,5.418341709,2.093208752,4.743718593,2.370706538,26.8241206,11.6487203,49.58165829,30.49173404,36.07402374,15.21968379,14.79815528,6.701853227
2019,4.587939698,2.585435682,2.863065327,2.024372265,21.99874372,14.45539834,23.91708543,18.45865023,33.27823618,19.22073812,8.647312186,5.982325201
