ID,lon_deg,lat_deg,area_km2,elev_gage,elev_mean,elev_median,elev_std,slope_mean_pct
US409,-104.399136,38.248058,16200.6,1389,2463.5,2475,641.8,16.9
US410,-103.219652,38.08084,37084.8,1187,2034.9,1824,647.8,9.6
US411,-103.200485,38.033896,8939.2,1186,1829.7,1717,426,8.4
US412,-97.540597,38.028622,2003.4,425,470,464,25.7,0.5
US413,-97.424486,37.883067,3200.4,416,461.2,457,25.2,0.5
US414,-98.013853,37.862607,2078.9,448,547.7,544,45.5,0.4
US415,-94.516567,37.023156,1110.4,290,375.4,372,42.3,2.7
US416,-94.182222,36.615861,367,298,403.6,402,39.6,7.2
US417,-94.373269,36.583962,505.7,263,371.2,376,38.4,5.9
US418,-94.449639,36.599278,616.9,256,363.3,369,31.4,3.6
US419,-94.586889,36.631461,2200.7,232,365.6,370,45.5,5.9
US420,-94.60411,36.6709,237.6,241,335.8,344,31.9,4.3
US421,-94.618,36.547297,20.9,287,311.1,310,13.2,1.5
US422,-94.683611,36.548889,126,246,319.5,322,29.2,2.9
US423,-94.55133,36.364523,230.4,298,376.4,376,28.5,4
US424,-94.58772,36.342024,267.6,282,374.3,374,30.1,4.1
US425,-94.641389,36.334722,339.1,276,367,368,33,4.2
US426,-94.685224,36.322581,421,272,359.2,361,35.2,4.1
US427,-94.776339,36.355359,153.8,240,322.5,323,23.1,3
US428,-94.344655,36.103136,433.9,316,396.3,379,53.2,5.6
US429,-94.286581,36.222069,335.6,327,389.2,390,20.2,2.1
US430,-94.533333,36.108611,1469.5,284,380.2,378,41,4.1
US431,-94.572164,36.130082,1630,279,377.7,375,41.5,4.1
US432,-94.604387,36.216193,147.2,291,373.3,369,31.1,2.7
US433,-94.605221,36.201748,49.6,299,347.8,349,14.3,1.5
US434,-94.706891,36.186473,298.9,264,354.5,352,32.7,3.1
US435,-94.923566,35.922869,2454.3,207,358.7,358,49.9,4.7
US436,-94.486606,35.880082,106.4,307,407.7,404,57.4,8.2
US437,-94.838563,35.9212,808.4,218,346.3,338,59.2,6.5
US438,-104.378037,35.652264,15403.6,1380,2165.1,2067,370.5,10.1
US439,-103.418014,35.356996,29030,1150,1864.1,1836,448.1,7.5
US440,-103.394958,35.341163,2083.8,1135,1305,1294,89.2,3.3
US441,-101.879628,35.470326,49264.4,914,1636.2,1489,462.6,5.3
US442,-98.065332,35.616993,34279.7,410,960.5,928,285.7,1.2
US443,-97.663375,35.478669,34927.9,378,950.3,922,292.6,1.2
US444,-97.367258,35.565615,35430.5,344,942.2,917,298.3,1.2
US445,-97.193919,35.500341,35653.8,327,938.5,915,300.9,1.2
US446,-94.298825,34.918989,525.4,177,265.3,249,66,7.6
US447,-94.484111,34.879824,694.4,160,262.1,243,75.7,8.2
US448,-94.51217,34.77371,244.3,214,395.4,350,142.2,15.1
US449,-94.407161,35.162596,379.5,148,229.3,201,93.4,6
US450,-94.464382,35.51731,1124.8,136,342.4,330,107.9,12
US451,-92.774612,34.876201,119,123,244.8,240,59.1,9.2
US452,-92.701831,34.884256,185.5,98,220.5,222,67.5,9.7
US453,-90.847778,33.396667,1301.3,30,40.3,41,3.1,0.1
US454,-90.91417,32.44417,34855.9,15,72,59,38.3,1.6
US455,-100.064827,33.950637,1267.2,484,586.8,572,66.1,1.4
US456,-100.075103,33.795917,158.2,475,537.8,538,24.1,2.8
US457,-99.786482,33.820642,2456.6,417,547,536,67.5,1.8
US458,-100.209,33.62203,568.8,487,602.1,596,57.5,3
US459,-100.208995,33.62203,568.8,487,602.4,596,57.7,3
US460,-99.800925,33.644257,1438.1,409,549.6,541,69.1,3
US461,-99.388691,33.70037,4771.7,353,524,525,80.5,2.1
US462,-99.142849,33.760093,5275.7,326,509.4,515,89,2
US463,-98.533666,33.909542,8146.3,290,456.2,445,104.4,1.6
US464,-96.975845,34.233427,18574,209,451.3,424,146.6,2.7
US465,-94.235763,34.379554,230.4,247,400.8,384,79.6,17.3
US466,-92.818218,33.596502,13843.4,30,164.2,137,102.8,5
US467,-92.933507,34.797591,69.8,243,350.5,347,54.2,10.6
US468,-91.656111,33.866389,1049.6,49,64.5,60,12.6,0.5
US469,-91.445833,33.627778,1416.1,40,65.6,61,16.1,0.8
US470,-92.590556,30.19,3576.3,1,15.3,14,8.2,0.1
US471,-92.893194,30.69875,1305.1,15,60.7,57,21.8,1.5
US472,-94.399444,31.025,9406.1,31,108.5,106,37,2.4
US473,-97.02973,32.798741,7908.3,152,280.2,288,56.3,2.4
US474,-97.179459,33.336227,763.4,183,281.4,281,42,2.9
US475,-96.961117,33.045677,4337.6,142,229.8,218,49.3,1.7
US476,-96.756666,32.889292,173,148,197.2,197,18.6,1.3
US477,-96.735832,32.707631,16226.8,119,249.9,246,62.5,2.1
US478,-96.463042,32.42653,21047.8,100,231.9,221,66.4,1.9
US479,-96.520264,32.198482,2135.6,109,182.8,182,36.2,1.6
US480,-96.289976,31.848496,369.2,93,133.2,134,17.4,1.2
US481,-95.656341,31.338513,35967.2,57,189.6,176,75.5,1.8
US482,-95.436327,30.110495,1046.3,28,68.8,68,19.8,0.8
US483,-95.124376,30.145493,989.4,20,80.8,85,26.9,1.5
US484,-96.546361,29.160254,764.4,20,61.8,58,21.5,0.4
US485,-96.467193,29.071646,444.9,17,36.4,35,9.3,0
US486,-98.412793,29.35718,505.8,167,290,285,64.5,3.1
US487,-98.355846,29.222185,4528.5,124,349.1,323,143.1,5.1
US488,-97.384715,28.649715,10120.1,34,247.8,192,152.8,3.3
US489,-96.884708,28.505834,26220.9,1,237.5,167,178.8,3
US490,-99.704776,29.488565,1028.3,372,599,622,89.7,11.9
US491,-105.754459,36.320023,16910.6,1854,2782.2,2691,450.9,15.5
US492,-104.524986,34.730062,10462.7,1324,1925.2,1852,409.1,7.5
US493,-105.751951,39.84582,27.3,2919,3426.8,3430,226.2,35.6
US494,-105.765563,39.949987,51.8,2651,3185,3176,260.1,25.1
US495,-105.848344,40.00582,580.6,2538,3065.7,3039,334.4,23.6
US496,-106.422534,40.202484,375.5,2297,2647.4,2629,186.8,13.4
US497,-106.440032,40.036652,6148.4,2248,2928.4,2870,396.1,23
US498,-106.366695,39.508319,195.3,2672,3289.5,3299,241.4,26
US499,-106.447808,39.60943,263.4,2360,3134.1,3147,312.6,34
US500,-107.083937,39.373317,2224.4,1977,3084.6,3123,466.6,34
US501,-107.329498,39.543593,3762.7,1753,2925.6,2934,519.1,31.6
US502,-108.266195,39.239146,20698.6,1468,2721.6,2702,512,25.3
US503,-108.267861,39.183314,1536.9,1477,2499,2488,466.8,16.6
US504,-106.870874,38.78416,638.3,2579,3196.6,3186,308.7,31.4
US505,-106.848095,38.664437,749,2446,3129.7,3117,332.1,29.4
US506,-106.931432,38.58777,415.9,2371,2917.8,2887,319,19.7
US507,-106.949766,38.541936,2617.1,2343,3112.2,3106,350.1,24.9
US508,-106.940877,38.521658,2743.5,2328,2966.7,2941,331.2,19.3
US509,-108.450645,38.983316,20560,1412,2668.6,2695,566.6,20.2
US510,-109.027055,39.13276,46273.9,1337,2618.9,2637,579.4,22.2
US511,-110.163214,42.192722,9895.1,1990,2562.2,2394,420.9,13.3
US512,-110.049876,42.02106,10861.7,1949,2562.2,2394,420.9,13.3
US513,-109.449023,41.516354,25211.5,1847,2321,2183,354.8,8.3
US514,-109.422914,40.908293,39136.6,1727,2321,2183,354.8,8.3
US515,-106.832271,40.483588,1460,2054,2676.7,2660,335.1,16.6
US516,-107.614234,40.480805,5503.9,1868,2436.2,2368,378.4,15.6
US517,-108.029804,40.502747,8753.7,1800,2364.2,2267,372.5,15.5
US518,-107.631596,41.068159,2612.9,1910,2123.6,2094,122.3,5.8
US519,-108.525101,40.451634,20551.9,1715,2229.4,2118,325.4,11.2
US520,-109.783476,40.215517,9771.9,1451,2402.9,2352,543.8,17.2
US521,-107.614508,39.987477,671.2,2137,2909.7,2923,319.4,20.5
US522,-107.625341,39.974422,462.3,2131,3004.2,3105,325.8,22.8
US523,-107.825349,40.004974,1667.3,1953,2812.3,2805,361.3,21
US524,-108.093136,40.013305,2655.9,1813,2578.4,2524,437.6,19.6
US525,-108.297588,39.921083,1311.1,1852,2259.9,2261,178.6,19
US526,-108.23592,40.077471,1689.3,1750,2223.7,2226,189.1,18.1
US527,-108.401205,40.168581,678.7,1689,2096.8,2049,183.1,12.6
US528,-108.565377,40.179693,6559.3,1646,2294.7,2211,401.7,17.1
US529,-109.178727,39.978856,10098.2,1504,2184.7,2101,390.9,17.1
US530,-107.698114,36.801394,8372.7,1728,2485.2,2336,480,20.1
US531,-107.667561,37.790275,378.2,2807,3542.4,3589,291.9,44.6
US532,-108.202018,36.721392,3545.7,1609,2653.5,2606,659.8,25.4
US533,-108.732311,36.79222,33180.1,1494,2163.9,2040,463.6,11.5
US534,-109.033992,37.005553,37641.3,1423,2135.4,2027,463.8,11.5
US535,-109.015666,37.32416,897.1,1496,1955,1946,175.6,10.5
US536,-113.180779,37.204149,2454.7,1067,1962.2,1936,391.3,23.5
US537,-113.285226,37.196927,2541.4,914,1937.5,1920,408,23.2
US538,-113.92441,36.891644,12571.1,541,1575.5,1558,424.4,15
US539,-115.04778,36.1397,2640.6,520,1345.1,1207,584.4,14.2
US540,-109.511186,32.868397,20424,936,2049.8,2121,417.8,16.3
US541,-110.921504,33.619495,11102.9,686,1885.5,1837,456.8,16.8
US542,-111.576524,33.552823,16022.5,433,1690.1,1708,530.2,18.2
US543,-112.065994,34.852242,8198,1107,1708.2,1658,260.6,8.1
US544,-111.694036,34.538636,614.9,1111,2018.2,2075,196.4,10.6
US545,-111.716257,34.073092,14242.6,639,1649.6,1634,345.9,11.5
US546,-111.663473,33.808375,15081,488,1618,1615,375.2,12.1
US547,-112.091887,41.278277,5371.4,1289,2125.6,2117,366,21.9
US548,-111.90188,40.663836,116.9,1295,2292,2454,665.9,36
US549,-111.92327,40.733557,9095.5,1291,1962.5,1917,477,20.3
US550,-111.806045,40.779946,18.7,1664,2094.2,2086,189.3,38.4
US551,-119.046258,39.463936,4489.5,1238,1797.9,1676,450.5,16.2
US552,-119.991571,38.922408,139.6,1903,2319.9,2347,281.7,22.3
US553,-120.118521,39.051852,19.6,1903,2185.5,2219,168,19.3
US554,-120.162135,39.107407,29.8,1921,2216.4,2212,188.7,28.4
US555,-120.157691,39.132129,24.7,1908,2218.4,2183,160,24.6
US556,-119.946577,39.240463,19.8,1909,2523.2,2550,313,25
US557,-119.944911,39.240186,13.3,1905,2362.7,2381,223.6,23.1
US558,-119.553236,39.556579,3804,1304,1970.7,1911,346.4,16.3
US559,-117.64533,33.883349,3726.5,137,858,551,698.1,16.8
US560,-121.549663,36.555517,11555.7,26,490.8,466,232.6,14.9
US561,-119.558774,37.731593,468,1227,2746.1,2784,420.1,30
US562,-121.01604,37.41355,469.4,19,405.1,404,230.5,20.9
US563,-123.329887,47.514257,147,239,990.6,1001,330.9,53.1
US564,-122.27624,47.69565,31.3,10,98.5,102,31.4,4.6
US565,-119.478079,46.253467,14536.2,142,869,815,440.1,17.2
US566,-111.905,43.825833,8336.9,1470,2438.4,2450,328.7,19.3
US567,-111.506667,42.815278,863.4,1914,2137.7,2102,160.9,17.6
US568,-114.494722,42.5625,664.4,1106,1584.9,1515,320.1,14.1
US569,-116.279167,43.660556,7182.2,796,1803.2,1768,430.6,30.3
US570,-116.972778,43.781667,10124.2,673,1538,1537,558.2,22.5
US571,-122.256733,44.209571,62.4,435,982.7,968,268.2,33.3
US572,-122.82176,45.100398,38.9,44,71,66,18.4,1.4
US573,-123.200109,45.46928,100.5,62,372.3,374,182.1,18
US574,-123.155663,45.458725,112.6,55,347.4,339,187.6,17.8
US575,-123.124274,45.474837,324.8,51,310.9,243,218.2,16.2
US576,-123.07122,45.680669,87.5,97,403.6,422,123.3,16.2
US577,-122.754819,45.403452,80.7,39,100.9,83,51.4,5.9
US578,-122.667874,45.518452,28936.9,2,558.2,403,481.8,18
US579,-106.725833,39.705,1571.9,2097,3033.1,3071,417.9,29.6
US580,-105.584168,40.353873,104.8,2444,3234.3,3301,367.8,38.9
