ID,lon_deg,lat_deg,area_km2,elev_gage,elev_mean,elev_median,elev_std,slope_mean_pct
CE165,11.8306348,48.8165407,368.3,358,448,452,38,6.2
CE166,12.1539558,49.5356102,2013.6,370,513,497,89,6.1
CE167,11.9360405,49.1179491,5433.7,334,504,490,93,6.9
CE168,12.5151713,49.3372491,398.3,441,575,546,102,7.9
CE169,12.2109402,49.404439,819.8,363,550,527,102,8
CE170,11.9432315,49.2001345,1100.9,343,464,458,51,7.1
CE171,12.1746674,49.222808,2613.4,337,595,546,191,10.1
CE172,12.4253994,48.9154892,402.6,324,418,420,47,5.3
CE173,12.883542,48.7709099,8612.8,316,741,587,400,12.1
CE174,11.3249177,47.6674845,638.1,600,1200,1134,451,29.8
CE175,11.4149479,47.8352202,1051.1,578,1049,957,446,23.8
CE176,11.1292361,48.0790964,993.4,532,776,671,276,11.2
CE177,11.2613855,48.1770462,1230.3,514,741,654,256,10
CE178,11.4918983,48.2971397,2212.9,464,669,610,211,7.4
CE179,11.8654677,48.4606689,3097.2,416,620,571,197,6.7
CE180,11.0573367,47.7782664,298.8,592,1104,1062,303,24.6
CE181,11.3630837,48.0291857,326.6,583,636,636,40,5.1
CE182,11.526103,48.4265659,390.4,447,504,504,22,4.9
CE183,12.6938155,48.6062511,729.1,375,473,478,27,5.6
CE184,13.14567,48.6108384,1439.5,308,442,453,48,5.8
CE185,12.3656185,48.4532181,320.3,436,483,484,18,5.7
CE186,13.4518532,48.6887302,761.6,326,718,707,201,11
CE187,12.1963952,47.6440293,9713.2,464,1898,1965,679,36
CE188,12.1435047,47.8540802,10153.5,440,1844,1917,711,35
CE189,12.7298213,48.2552085,13320.5,356,1547,1545,824,28.6
CE190,13.4441425,48.5614565,26040,289,1253,1056,782,24.5
CE191,11.9940134,47.8579611,776.2,477,890,786,265,17.5
CE192,12.4802029,47.9344118,1395,517,976,908,393,22.3
CE193,12.4755892,47.7814015,944.7,532,1136,1087,358,28.1
CE194,12.8343378,48.1586302,6655.1,352,1264,1196,623,29.2
CE195,12.8228086,47.6811749,940.6,494,1262,1225,396,33.7
CE196,8.7600997,47.9489725,827,649,819,791,111,9.7
CE197,9.3960814,48.0724672,2621.3,543,773,764,107,9.3
CE198,9.7314421,48.2662752,4072.8,490,727,725,116,8.2
CE199,9.9008062,48.263444,264.4,489,626,626,63,5.7
CE200,8.974524,48.0529439,1310.4,605,816,799,103,10.5
CE201,8.795622,47.9883893,80.7,646,777,756,76,11.2
CE202,9.1497533,48.0916906,145.2,591,819,832,79,11.3
CE203,9.2755007,48.0837349,451.6,576,765,768,63,8.8
CE204,9.831219,48.2386078,409.1,495,591,589,48,5.3
CE205,9.1638162,48.0059422,199.9,591,673,661,47,5.5
CE206,8.943287,48.0346146,131.8,630,865,884,73,14.2
CE207,8.50062,47.9355956,291.1,678,899,914,115,11.8
CE208,9.5798732,48.2558877,325,515,726,733,51,8.6
CE209,9.5225161,48.1645172,150,527,601,594,27,4.3
CE210,9.9648084,48.3986457,489.7,477,689,695,84,6.8
CE211,9.7224811,48.2995701,167.7,506,707,730,76,8.7
CE212,8.4645034,48.0576492,101.4,700,853,857,70,9.6
CE213,10.02094,46.6355838,733,1680,2453,2484,403,34.9
CE214,10.4648752,46.8849254,1941,1030,2343,2386,423,36.7
CE215,15.6908197,48.9033231,1755.5,348,544,539,62,5.5
CE216,16.4374445,48.7906763,3535.1,173,441,480,143,5
